DenuncRef,DenuncSystemId,DenuncID,Trialref,Denunc_exists,Denuncdate,Denuncdate_as_date,Denunc_text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DN/LA/12","LA",12,"T/LA/411",1,"11/7/1661","07/11/61 00:00:00","she was denounced by Janet Watsone","LEM","07/16/01 15:36:39","LEM","07/16/01 15:37:03"
"DN/LA/13","LA",13,"T/LA/298",1,"3/7/1661","07/03/61 00:00:00","session of Newbattle","LEM","07/17/01 12:05:59","LEM","07/17/01 12:29:56"
"DN/LA/14","LA",14,"T/LA/720",1,,,"denounced to presbytery of Duns","LEM","08/17/01 14:50:22","jhm","10/02/02 13:03:38"
"DN/LA/15","LA",15,"T/LA/721",1,,,"to the Presbytery of Duns","LEM","08/17/01 15:01:11","jhm","10/02/02 13:03:26"
"DN/LA/18","LA",18,"T/LA/1025",1,"14/9/1649","09/14/49 00:00:00","Kirk session with a visiting minister","LEM","10/19/01 12:16:51","LEM","10/19/01 12:17:28"
"DN/LA/19","LA",19,"T/LA/1025",1,"15/10/1649","10/15/49 00:00:00","presbytery of Glasgow","LEM","10/19/01 12:17:28","LEM","10/19/01 12:17:53"
"DN/LA/2","LA",2,"T/LA/38",1,"7/12/1643","12/07/43 00:00:00","investigated by magistrates and ministers of Edinb","LEM","05/22/01 12:23:56","LEM","05/22/01 12:26:48"
"DN/LA/20","LA",20,"T/LA/1025",1,"27/8/1649","08/27/49 00:00:00","kirk session","LEM","10/19/01 12:29:45","LEM","10/19/01 12:33:50"
"DN/LA/21","LA",21,"T/LA/1088",1,"14/5/1643","05/14/43 00:00:00","depositions taken at the Kirk of Sandwick","LEM","10/23/01 10:12:12","LEM","10/23/01 10:12:28"
"DN/LA/22","LA",22,"T/LA/1089",1,"1644","06/01/44 00:00:00","to the Presbytery of Lanark","LEM","10/23/01 10:25:27","LEM","10/23/01 10:34:11"
"DN/LA/23","LA",23,"T/LA/1090",1,"1644","06/01/44 00:00:00","Presbytery of Lanark","LEM","10/23/01 10:43:05","jhm","10/03/02 13:56:35"
"DN/LA/24","LA",24,"T/LA/1096",1,"26/2/1650","02/26/50 00:00:00","kirk session of Renfrew","LEM","10/23/01 13:08:01","LEM","10/23/01 13:08:40"
"DN/LA/25","LA",25,"T/LA/1102",1,"27/2/1617","02/27/17 00:00:00","kirk session of Stirling","LEM","10/23/01 14:54:40","LEM","10/23/01 14:55:20"
"DN/LA/26","LA",26,"T/LA/1102",1,"19/12/1621","12/19/21 00:00:00","Presbytery of Stirling","LEM","10/23/01 14:56:58","LEM","10/23/01 15:01:24"
"DN/LA/27","LA",27,"T/LA/1102",1,"20/12/1621","12/20/21 00:00:00","presbytery of stirling","LEM","10/23/01 15:01:24","LEM","10/23/01 15:03:20"
