RitualObjectRef,RitualObjectSystemId,RitualObjectID,CaseRef,RitualObject_Type,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"RO/LA/605","LA",605,"C/EGD/124","Snake skin","LEM","07/24/02 13:21:41","LEM","07/24/02 13:21:43"
"RO/LA/606","LA",606,"C/EGD/53","Water","LEM","07/24/02 14:40:31","LEM","07/24/02 14:40:34"
"RO/LA/607","LA",607,"C/EGD/53","Wax/clay images","LEM","07/24/02 14:42:58","LEM","07/24/02 14:43:02"
"RO/LA/608","LA",608,"C/EGD/57","Herb","LEM","07/24/02 15:06:24","LEM","07/24/02 15:06:27"
"RO/LA/609","LA",609,"C/EGD/120","Wax","LEM","07/26/02 09:55:27","jhm","11/13/02 12:33:17"
"RO/LA/610","LA",610,"C/EGD/63","Egg","LEM","07/26/02 10:46:59","LEM","07/26/02 10:47:00"
"RO/LA/611","LA",611,"C/EGD/63","Vinegar","LEM","07/26/02 10:47:01","LEM","11/11/02 11:15:11"
"RO/LA/612","LA",612,"C/EGD/63","Wine","LEM","07/26/02 10:47:07","LEM","07/26/02 10:47:08"
"RO/LA/613","LA",613,"C/EGD/63","Aqua Vitae","LEM","07/26/02 10:47:42","LEM","07/26/02 10:47:44"
"RO/LA/614","LA",614,"C/LA/3142","Wax","LEM","07/26/02 11:57:01","jhm","11/13/02 12:33:41"
"RO/LA/615","LA",615,"C/EGD/142","Egg","LEM","07/26/02 13:19:38","LEM","07/26/02 13:19:39"
"RO/LA/616","LA",616,"C/EGD/142","Almond","LEM","07/26/02 13:19:40","LEM","07/26/02 13:19:44"
"RO/LA/617","LA",617,"C/EGD/323","Herb","LEM","07/30/02 10:51:00","LEM","07/30/02 10:51:04"
"RO/LA/618","LA",618,"C/EGD/323","Water","LEM","07/30/02 10:51:39","LEM","07/30/02 10:51:41"
"RO/LA/619","LA",619,"C/EGD/1474","Flesh","LEM","08/20/02 14:49:10","LEM","08/20/02 14:49:13"
"RO/LA/620","LA",620,"C/EGD/1474","Wax/clay images","LEM","08/20/02 15:06:55","LEM","08/20/02 15:06:59"
"RO/LA/621","LA",621,"C/EGD/1558","Corpse","LEM","08/22/02 10:45:30","LEM","08/22/02 10:45:41"
"RO/LA/622","LA",622,"C/EGD/1558","Nail trimmings","LEM","08/22/02 10:45:43","LEM","08/22/02 10:46:15"
"RO/LA/623","LA",623,"C/EGD/1558","Grain","LEM","08/22/02 10:46:22","LEM","08/22/02 10:46:31"
"RO/LA/624","LA",624,"C/EGD/1558","Herb","LEM","08/22/02 10:46:52","LEM","08/22/02 10:46:56"
"RO/LA/625","LA",625,"C/EGD/1558","Wax/clay images","LEM","08/22/02 11:01:21","LEM","08/22/02 11:01:31"
"RO/LA/626","LA",626,"C/EGD/1558","Thread","LEM","08/22/02 11:09:24","jhm","11/13/02 12:53:46"
"RO/LA/628","LA",628,"C/EGD/1558","Water","LEM","08/22/02 11:19:40","LEM","08/22/02 11:19:40"
"RO/LA/629","LA",629,"C/EGD/1558","Beetle","LEM","08/22/02 11:19:41","LEM","08/22/02 11:19:43"
"RO/LA/630","LA",630,"C/EGD/1558","Toad","LEM","08/22/02 11:27:17","LEM","08/22/02 11:27:18"
"RO/LA/631","LA",631,"C/EGD/1558","Flesh","LEM","08/22/02 11:27:24","LEM","08/22/02 11:27:26"
"RO/LA/633","LA",633,"C/EGD/1558","Liver","LEM","08/22/02 11:27:50","LEM","08/22/02 11:27:51"
"RO/LA/634","LA",634,"C/EGD/1558","Cloth","LEM","08/22/02 11:27:52","LEM","08/22/02 11:27:54"
"RO/LA/635","LA",635,"C/EGD/597","Herb","LEM","08/28/02 11:28:53","LEM","08/28/02 11:29:04"
"RO/LA/636","LA",636,"C/LA/3277","Herb","LEM","08/28/02 17:41:51","LEM","08/28/02 17:41:52"
"RO/LA/637","LA",637,"C/LA/3278","Herb","LEM","08/28/02 17:46:02","LEM","08/28/02 17:46:05"
"RO/LA/645","LA",645,"C/EGD/1998","Sieve","LEM","09/17/02 14:56:25","LEM","09/17/02 14:56:30"
"RO/LA/657","LA",657,"C/LA/2638","Caird","LEM","10/29/02 12:23:37","LEM","10/29/02 12:24:27"
"RO/LA/680","LA",680,"C/EGD/791","Toad","LEM","11/05/02 16:39:06","LEM","11/05/02 16:39:08"
"RO/LA/681","LA",681,"C/EGD/597","Hair","LEM","11/06/02 10:40:59","jhm","11/13/02 13:55:17"
"RO/LA/682","LA",682,"C/EGD/597","Nail trimmings","LEM","11/06/02 10:41:05","LEM","11/06/02 10:41:16"
"RO/LA/683","LA",683,"C/EGD/597","Shirt","LEM","11/06/02 10:41:17","LEM","11/06/02 10:41:19"
"RO/LA/684","LA",684,"C/EGD/597","Fire","LEM","11/06/02 10:42:02","LEM","11/06/02 10:42:07"
"RO/LA/685","LA",685,"C/EGD/597","Yarn","LEM","11/06/02 10:44:21","LEM","11/06/02 10:44:25"
"RO/LA/686","LA",686,"C/EGD/1224","Bird (dead)","LEM","11/18/02 15:48:08","LEM","11/18/02 15:48:10"
"RO/LA/687","LA",687,"C/EGD/1224","Hand (dead)","LEM","11/18/02 15:48:10","LEM","11/18/02 15:48:13"
"RO/LA/688","LA",688,"C/EGD/1224","Wax/clay images","LEM","11/18/02 15:56:01","LEM","11/18/02 15:56:05"
"RO/LA/689","LA",689,"C/EGD/1225","Shirt","LEM","11/18/02 16:07:22","LEM","11/18/02 16:07:30"
"RO/LA/690","LA",690,"C/EGD/1225","Bird (dead)","LEM","11/18/02 16:07:31","LEM","11/18/02 16:07:32"
"RO/LA/691","LA",691,"C/EGD/1225","Hand (dead)","LEM","11/18/02 16:07:32","LEM","11/18/02 16:07:35"
"RO/LA/692","LA",692,"C/EGD/1225","Shoes","LEM","11/18/02 16:08:19","LEM","11/18/02 16:08:22"
"RO/LA/693","LA",693,"C/EGD/170","Wheat","LEM","11/18/02 16:45:09","LEM","11/18/02 16:45:11"
"RO/LA/7","LA",7,"C/EGD/162","Urine","LEM","05/18/01 13:04:46","jhm","10/18/02 16:14:17"
"RO/LA/70","LA",70,"C/EGD/576","Cloth","LEM","09/05/01 10:30:40","LEM","09/05/01 10:30:47"
"RO/LA/71","LA",71,"C/EGD/576","Herb","LEM","09/05/01 10:30:48","LEM","09/05/01 10:30:58"
"RO/LA/72","LA",72,"C/LA/2876","Stones","LEM","09/06/01 13:24:11","LEM","09/06/01 13:24:13"
"RO/LA/73","LA",73,"C/EGD/1244","Stones","LEM","09/06/01 13:34:09","LEM","09/06/01 13:34:12"
"RO/LA/74","LA",74,"C/EGD/1245","Stones","LEM","09/06/01 13:40:25","LEM","09/06/01 13:40:26"
"RO/LA/75","LA",75,"C/EGD/1246","Stones","LEM","09/06/01 13:41:47","LEM","09/06/01 13:41:49"
"RO/LA/76","LA",76,"C/EGD/1247","Stones","LEM","09/06/01 13:50:43","LEM","09/06/01 13:50:45"
"RO/LA/77","LA",77,"C/EGD/1248","Stones","LEM","09/06/01 15:07:37","LEM","09/06/01 15:07:39"
"RO/LA/78","LA",78,"C/EGD/1249","Stones","LEM","09/06/01 15:08:43","LEM","09/06/01 15:08:45"
"RO/LA/79","LA",79,"C/EGD/1250","Stones","LEM","09/06/01 15:11:24","LEM","09/06/01 15:11:27"
"RO/LA/8","LA",8,"C/EGD/166","Cat","LEM","05/21/01 11:26:01","LEM","05/21/01 11:26:04"
"RO/LA/80","LA",80,"C/EGD/1251","Stones","LEM","09/06/01 15:12:21","LEM","09/06/01 15:12:23"
"RO/LA/81","LA",81,"C/EGD/1252","Stones","LEM","09/06/01 15:14:39","LEM","09/06/01 15:14:41"
"RO/LA/82","LA",82,"C/EGD/1242","Stones","LEM","09/06/01 15:21:57","LEM","09/06/01 15:22:00"
"RO/LA/83","LA",83,"C/EGD/1243","Stones","LEM","09/06/01 15:22:17","LEM","09/06/01 15:22:21"
"RO/LA/84","LA",84,"C/EGD/34","Herb","LEM","09/25/01 12:03:27","LEM","09/25/01 12:03:59"
"RO/LA/85","LA",85,"C/EGD/136","Garland","LEM","09/25/01 16:01:57","LEM","09/25/01 16:02:01"
"RO/LA/86","LA",86,"C/EGD/137","Salt","LEM","09/25/01 16:49:56","LEM","09/25/01 16:50:17"
"RO/LA/87","LA",87,"C/EGD/137","Thread","LEM","09/25/01 16:51:12","jhm","11/13/02 13:41:02"
"RO/LA/88","LA",88,"C/EGD/140","Hairbelt","LEM","09/25/01 17:04:00","LEM","09/25/01 17:04:08"
"RO/LA/89","LA",89,"C/EGD/140","Corpse","LEM","09/25/01 17:05:21","LEM","09/25/01 17:05:45"
"RO/LA/9","LA",9,"C/EGD/166","Camomile","LEM","05/21/01 11:26:05","LEM","05/21/01 11:26:13"
"RO/LA/94","LA",94,"C/EGD/147","Cat","LEM","09/26/01 16:04:17","LEM","09/26/01 16:04:18"
