DemonicRef,DemonicSystemId,DemonicID,CaseRef,Demonic_Type,Demonic_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DP/LA/752","LA",752,"C/LA/3278","Sex",,"LEM","08/28/02 17:45:43","LEM","08/28/02 17:45:44"
"DP/LA/753","LA",753,"C/LA/3278","Body and soul",,"LEM","08/28/02 17:45:48","LEM","08/28/02 17:45:53"
"DP/LA/754","LA",754,"C/LA/3277","Anti-baptism",,"LEM","08/28/02 20:56:45","LEM","08/28/02 20:56:46"
"DP/LA/755","LA",755,"C/LA/3277","Servant",,"LEM","08/28/02 20:56:50","LEM","08/28/02 20:56:51"
"DP/LA/756","LA",756,"C/LA/3277","Body and soul",,"LEM","08/28/02 20:56:52","LEM","08/28/02 20:57:03"
"DP/LA/757","LA",757,"C/EGD/2613","Devil's Mark",,"LEM","09/02/02 12:58:02","LEM","09/02/02 12:58:04"
"DP/LA/76","LA",76,"C/EGD/380","New name","Buntein","LEM","06/29/01 11:05:32","LEM","06/29/01 11:05:45"
"DP/LA/760","LA",760,"C/JO/3073","Devil's Mark",,"LEM","10/31/02 12:15:29","LEM","10/31/02 12:15:33"
"DP/LA/761","LA",761,"C/JO/2885","Devil's Mark",,"LEM","11/01/02 10:38:41","LEM","11/01/02 10:38:43"
"DP/LA/762","LA",762,"C/JO/2700",,,"LEM","11/04/02 09:39:23","LEM","11/04/02 09:39:27"
"DP/LA/764","LA",764,"C/EGD/1224","Sex",,"LEM","11/18/02 15:51:56","LEM","11/18/02 15:51:58"
"DP/LA/765","LA",765,"C/EGD/1225","Tacit pact",,"LEM","11/18/02 16:05:56","LEM","11/18/02 16:05:57"
"DP/LA/766","LA",766,"C/EGD/1226","Sex",,"LEM","11/18/02 16:18:54","LEM","11/18/02 16:18:57"
"DP/LA/77","LA",77,"C/EGD/380","Devil's Mark","Right side","LEM","06/29/01 11:05:47","LEM","06/29/01 11:05:54"
