DevilRef,DevilSystemId,DevilID,CaseRef,Devil_Type,Devil_Text,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"DVA/LA/35","LA",35,"C/EGD/370","Male",,"LEM","06/28/01 09:30:06","jhm","11/05/02 14:17:47"
"DVA/LA/350","LA",350,"C/EGD/703","Male","cloven feet and cold","LEM","07/04/02 14:24:25","LEM","11/06/02 14:53:07"
"DVA/LA/351","LA",351,"C/EGD/703","Male","he called himself Robin","LEM","07/04/02 14:28:07","LEM","11/06/02 14:53:06"
"DVA/LA/352","LA",352,"C/EGD/704","Male","a little thick man","LEM","07/04/02 14:56:19","LEM","11/06/02 14:50:23"
"DVA/LA/353","LA",353,"C/EGD/705","Male","grey clothes","LEM","07/04/02 16:16:45","LEM","11/06/02 14:47:45"
"DVA/LA/354","LA",354,"C/EGD/129","Male",,"LEM","07/10/02 09:29:08","jhm","10/03/02 12:23:10"
"DVA/LA/355","LA",355,"C/EGD/203","Male","gentleman","LEM","07/12/02 10:40:29","jhm","10/23/02 14:17:03"
"DVA/LA/356","LA",356,"C/EGD/204","Male","in brown clothes","LEM","07/12/02 12:40:54","LEM","10/10/02 14:21:19"
"DVA/LA/357","LA",357,"C/EGD/785","Male","a man of midle stature 40 years old, flaxen hair","LEM","07/15/02 11:06:02","LEM","11/06/02 09:54:11"
"DVA/LA/358","LA",358,"C/EGD/294","Male","young man in gray clothes, blue bonnet","LEM","07/18/02 10:06:44","jhm","10/31/02 12:38:54"
"DVA/LA/359","LA",359,"C/EGD/293","Animal Devil","dog with a sow's head","LEM","07/18/02 11:52:01","LEM","07/18/02 11:52:12"
"DVA/LA/360","LA",360,"C/EGD/293","Animal Devil","black dog","LEM","07/18/02 11:54:44","LEM","07/18/02 11:54:53"
"DVA/LA/361","LA",361,"C/EGD/313","Male","sea green clothes with a hat or bonnet","LEM","07/18/02 17:14:23","jhm","11/04/02 14:14:12"
"DVA/LA/362","LA",362,"C/EGD/309","Male","grey clothes with a grey cap, called himself Simon","LEM","07/18/02 17:58:55","jhm","11/04/02 13:06:26"
"DVA/LA/363","LA",363,"C/EGD/310","Male","grey clothes","LEM","07/18/02 18:09:47","jhm","11/04/02 14:58:26"
"DVA/LA/364","LA",364,"C/EGD/319","Male","grey clothes like a gentleman","LEM","07/19/02 09:30:43","jhm","11/04/02 15:44:35"
"DVA/LA/365","LA",365,"C/EGD/318","Male",,"LEM","07/19/02 09:51:33","LEM","11/11/02 11:28:34"
"DVA/LA/366","LA",366,"C/EGD/28","Spirit","appeared in a whirlwind","LEM","07/24/02 12:23:36","LEM","07/24/02 12:24:19"
"DVA/LA/367","LA",367,"C/EGD/28","Male Fairy",,"LEM","07/24/02 12:38:35","LEM","07/24/02 12:38:36"
"DVA/LA/368","LA",368,"C/EGD/28","Ghost","Maggie Dewand","LEM","07/24/02 12:38:40","LEM","07/24/02 12:39:04"
"DVA/LA/369","LA",369,"C/EGD/107","Male","black priest with black clothes","LEM","07/26/02 10:27:08","jhm","10/01/02 15:04:08"
"DVA/LA/370","LA",370,"C/EGD/63","Animal Devil","a white stag","LEM","07/26/02 10:53:21","LEM","07/26/02 10:53:36"
"DVA/LA/371","LA",371,"C/EGD/63","Inanimate Object Devil","ruck of hay","LEM","07/26/02 10:53:39","LEM","07/26/02 10:53:59"
"DVA/LA/372","LA",372,"C/LA/3142","Spirit","an evil spirit","LEM","07/26/02 11:55:19","LEM","07/26/02 11:56:08"
"DVA/LA/373","LA",373,"C/EGD/323","Male","in green clothes","LEM","07/30/02 10:52:12","jhm","11/04/02 16:54:17"
"DVA/LA/374","LA",374,"C/EGD/345","Animal Devil","as a cow","LEM","07/30/02 11:10:22","LEM","07/30/02 11:10:26"
"DVA/LA/375","LA",375,"C/EGD/345","Male","green clothes","LEM","07/30/02 11:10:27","jhm","11/05/02 09:03:42"
"DVA/LA/376","LA",376,"C/EGD/324","Male","in green","LEM","07/30/02 11:57:37","jhm","11/04/02 16:58:27"
"DVA/LA/377","LA",377,"C/EGD/324","Male","in black","LEM","07/30/02 11:57:44","jhm","11/04/02 16:58:27"
"DVA/LA/378","LA",378,"C/EGD/346","Male","green clothes","LEM","07/30/02 12:12:34","jhm","11/05/02 09:05:38"
"DVA/LA/379","LA",379,"C/EGD/346","Male","meikle black man","LEM","07/30/02 12:13:25","jhm","11/05/02 09:05:56"
"DVA/LA/380","LA",380,"C/EGD/350","Male","green clothes","LEM","07/30/02 13:30:44","LEM","10/10/02 14:36:00"
"DVA/LA/381","LA",381,"C/EGD/347","Male",,"LEM","07/30/02 13:43:53","jhm","11/05/02 09:10:38"
"DVA/LA/382","LA",382,"C/EGD/347","Male","a gentleman","LEM","07/30/02 13:44:40","jhm","11/05/02 09:10:36"
"DVA/LA/383","LA",383,"C/EGD/347","Animal Devil","black dog","LEM","07/30/02 13:45:58","LEM","07/30/02 13:46:17"
"DVA/LA/384","LA",384,"C/EGD/344","Male","great black man","LEM","08/01/02 09:37:33","jhm","10/11/02 11:32:51"
"DVA/LA/385","LA",385,"C/EGD/344","Animal Devil","rat","LEM","08/01/02 09:37:38","LEM","08/01/02 09:37:42"
"DVA/LA/386","LA",386,"C/EGD/349","Male","in black clothes","LEM","08/01/02 09:47:41","jhm","11/05/02 09:21:53"
"DVA/LA/387","LA",387,"C/EGD/343","Male","meikle black man","LEM","08/01/02 09:55:18","LEM","10/10/02 14:38:45"
"DVA/LA/388","LA",388,"C/EGD/1474","Male","mekle, roch, blackman with cloven feet.","LEM","08/20/02 15:00:38","jhm","10/08/02 10:56:40"
"DVA/LA/389","LA",389,"C/EGD/1558","Male","with cloven feet","LEM","08/22/02 10:40:11","jhm","10/08/02 15:52:58"
"DVA/LA/390","LA",390,"C/EGD/1558","Male","meikle black roch man","LEM","08/22/02 10:42:28","jhm","10/08/02 15:52:54"
"DVA/LA/391","LA",391,"C/EGD/1558","Animal Devil","deer","LEM","08/22/02 10:43:50","jhm","10/08/02 15:52:51"
"DVA/LA/392","LA",392,"C/EGD/1558","Female Fairy","Queen dressed in white and brown","LEM","08/22/02 10:57:21","LEM","08/22/02 10:57:38"
"DVA/LA/393","LA",393,"C/EGD/1558","Male Fairy","King, a braw, well favored man with a broad face.","LEM","08/22/02 10:57:39","LEM","08/22/02 10:58:10"
"DVA/LA/394","LA",394,"C/EGD/1558","Spirit","to wait upon each witch","LEM","08/22/02 11:14:51","jhm","10/18/02 12:19:48"
"DVA/LA/395","LA",395,"C/LA/3277","Male","black man","LEM","08/28/02 20:56:20","LEM","11/11/02 11:29:07"
"DVA/LA/396","LA",396,"C/LA/3277","Inanimate Object Devil","wind","LEM","08/28/02 20:56:28","LEM","08/28/02 20:56:45"
"DVA/LA/4","LA",4,"C/EGD/166","Animal Devil","Foal","LEM","05/18/01 15:15:50","LEM","05/18/01 15:16:24"
"DVA/LA/408","LA",408,"C/EGD/604","Male","well-favoured young man","LEM","11/07/02 12:57:42","LEM","11/07/02 12:57:56"
"DVA/LA/43","LA",43,"C/LA/2770","Male",,"LEM","06/28/01 14:42:38","LEM","11/11/02 11:29:32"
"DVA/LA/45","LA",45,"C/EGD/378","Male",,"LEM","06/28/01 14:47:21","jhm","11/05/02 14:57:40"
