Parishref,ParishId,ParishSystemId,Parish_Name,Parish_TLA,PFID,Medieval_Diocese,Medieval_Deanery,Parish_County,Parish_Burgh,Parish_NGR_Letters,Parish_NGR_Easting,Parish_NGR_Northing,Date Comment,Notes,Createdby,Createdate,Lastupdatedby,Lastupdatedon
"P/ST/1049",1049,"ST","Kilmuir Easter","KME",1049,"Ross",,,,"NH",757,732,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1050",1050,"ST","Kilmichael Glassary","KMG",1050,"Morvern","Glassary",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1051",1051,"ST","Kirkmahoe","KMH",1051,"Teviotdale","Nithsdale",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1052",1052,"ST","Kilmarnock","KMK",1052,"Teviotdale",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1053",1053,"ST","Kirkmichael","KML",1053,"Teviotdale","Carrick",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1054",1054,"ST","Kilmacolm","KMM",1054,"Teviotdale","Rutherglen",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1055",1055,"ST","Kirkmaiden","KMN",1055,"Rhinns","Rhinns",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1056",1056,"ST","Kilmaronock","KMO",1056,"Teviotdale","Lennox",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1057",1057,"ST","Kilmartin","KMR",1057,"Morvern",,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1058",1058,"ST","Kilmonivaig","KMV",1058,"Morvern","Morvern",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1059",1059,"ST","Kilmory (Arran)","KMY",1059,"Isles",,,,"NR",960,210,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1060",1060,"ST","Kinnaird","KNA",1060,"Merse","Gowrie",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1061",1061,"ST","Knockbain","KNB",1061,,,,,"NH",,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1062",1062,"ST","Kinclaven","KNC",1062,"South of Forth","Angus",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1063",1063,"ST","Kinfauns","KNF",1063,"Merse","Gowrie",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1064",1064,"ST","Kingarth","KNG",1064,,,,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1065",1065,"ST","Kinellar","KNL",1065,"Garioch","Garioch",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1066",1066,"ST","Kenmore","KNM",1066,"South of Forth","Atholl & Drumalbane",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1067",1067,"ST","Kirknewton","KNN",1067,"Merse","Linlithgow",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1068",1068,"ST","Knockando","KNO",1068,"Strathspey","Elgin",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1069",1069,"ST","Kinross","KNS",1069,"Merse","Fothriff",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
"P/ST/1070",1070,"ST","Kintore","KNT",1070,"Garioch","Garioch",,,,,,,,"ST","03/15/01 14:34:10","ST","03/15/01 14:34:10"
