Measured Point,Vol.,Conc.,Cond. 185,Temp. 185,Cond. 187,Temp. 187,
,ml,mg/l,µS/cm,°C,µS/cm,°C,
0,250.0,0.00,105.8,10.7,105.4,10.7,
1,250.5,19.96,220.7,10.7,220.9,10.6,
2,251.0,39.84,335.8,10.7,334.7,10.6,
3,251.5,59.64,448.4,10.7,447.0,10.6,
4,252.0,79.37,562.2,10.7,560.3,10.6,
5,252.5,99.01,685.4,10.7,683.1,10.6,
Date/Time,Measured Point,Cond. 185,Cond. 187,Temp. 185,Temp. 187,
6/18/2016 10:13:39 AM,123,13.2,13.2,14.0,13.9,
6/18/2016 10:13:40 AM,124,13.2,13.2,14.0,13.9,
6/18/2016 10:13:41 AM,125,13.2,13.2,14.0,13.9,
6/18/2016 10:13:42 AM,126,13.2,13.2,14.0,13.9,
6/18/2016 10:13:43 AM,127,13.2,13.2,14.0,13.9,
6/18/2016 10:13:44 AM,128,13.2,13.2,14.0,13.9,
6/18/2016 10:13:45 AM,129,13.2,13.2,14.0,13.9,
6/18/2016 10:13:46 AM,130,13.2,13.2,14.0,13.9,
6/18/2016 10:13:47 AM,131,13.2,13.2,14.0,13.9,
6/18/2016 10:13:48 AM,132,13.2,13.2,14.0,13.9,
6/18/2016 10:13:49 AM,133,13.2,13.2,14.0,13.9,
6/18/2016 10:13:50 AM,134,13.2,13.2,14.0,13.9,
6/18/2016 10:13:51 AM,135,13.2,13.2,14.0,13.9,
6/18/2016 10:13:52 AM,136,13.2,13.2,14.0,13.9,
6/18/2016 10:13:53 AM,137,13.2,13.2,14.0,13.9,
6/18/2016 10:13:54 AM,138,13.2,13.2,14.0,13.9,
6/18/2016 10:13:55 AM,139,13.2,13.2,14.0,13.9,
6/18/2016 10:13:56 AM,140,13.2,13.2,14.0,13.9,
6/18/2016 10:13:57 AM,141,13.2,13.2,14.0,13.9,
6/18/2016 10:13:58 AM,142,13.2,13.2,14.0,13.9,
6/18/2016 10:13:59 AM,143,13.2,13.2,14.0,13.9,
6/18/2016 10:14:00 AM,144,13.2,13.2,14.0,13.9,
6/18/2016 10:14:01 AM,145,13.2,13.2,14.0,13.9,
6/18/2016 10:14:02 AM,146,13.2,13.2,14.0,13.9,
6/18/2016 10:14:03 AM,147,13.2,13.2,14.0,13.9,
6/18/2016 10:14:04 AM,148,13.2,13.2,14.0,13.9,
6/18/2016 10:14:05 AM,149,13.2,13.2,14.0,13.9,
6/18/2016 10:14:06 AM,150,13.2,13.2,14.0,13.9,
6/18/2016 10:14:07 AM,151,13.2,13.2,14.0,13.9,
6/18/2016 10:14:08 AM,152,13.2,13.2,14.0,13.9,
6/18/2016 10:14:09 AM,153,13.2,13.2,14.0,13.9,
6/18/2016 10:14:10 AM,154,13.2,13.2,14.0,13.9,
6/18/2016 10:14:11 AM,155,13.2,13.2,14.0,13.9,
6/18/2016 10:14:12 AM,156,13.2,13.2,14.0,13.9,
6/18/2016 10:14:13 AM,157,13.2,13.2,14.0,13.9,
6/18/2016 10:14:14 AM,158,13.2,13.2,14.0,13.9,
6/18/2016 10:14:15 AM,159,13.2,13.2,14.0,13.9,
6/18/2016 10:14:16 AM,160,13.2,13.2,14.0,13.9,
6/18/2016 10:14:17 AM,161,13.2,13.2,14.0,13.9,
6/18/2016 10:14:18 AM,162,13.2,13.2,14.0,13.9,
6/18/2016 10:14:19 AM,163,13.2,13.2,14.0,13.9,
6/18/2016 10:14:20 AM,164,13.2,13.2,14.0,13.9,
